city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Culiacán,Culiacan,24.8069,-107.3939,Mexico,MX,MEX,Sinaloa,admin,808416,1484516810
McAllen,McAllen,26.2273,-98.2471,United States,US,USA,Texas,,804114,1840021024
Querétaro,Queretaro,20.5875,-100.3928,Mexico,MX,MEX,Querétaro,admin,801940,1484604775
San Luis Potosí,San Luis Potosi,22.1511,-100.9761,Mexico,MX,MEX,San Luis Potosí,admin,772828,1484583620
Hempstead,Hempstead,40.6629,-73.6089,United States,US,USA,New York,,767417,1840005293
Albuquerque,Albuquerque,35.1053,-106.6464,United States,US,USA,New Mexico,,761195,1840019176
Tlajomulco de Zúñiga,Tlajomulco de Zuniga,20.4736,-103.4431,Mexico,MX,MEX,Jalisco,minor,727750,1484017493
Birmingham,Birmingham,33.5277,-86.7987,United States,US,USA,Alabama,,739573,1840006507
Sarasota,Sarasota,27.3386,-82.5431,United States,US,USA,Florida,,722243,1840015988
Mississauga,Mississauga,43.6000,-79.6500,Canada,CA,CAN,Ontario,,721599,1124112672
Dayton,Dayton,39.7797,-84.1998,United States,US,USA,Ohio,,718353,1840034249
Torreón,Torreon,25.5394,-103.4486,Mexico,MX,MEX,Coahuila de Zaragoza,minor,716672,1484215762
Rochester,Rochester,43.1680,-77.6162,United States,US,USA,New York,,703952,1840000373
Fresno,Fresno,36.7831,-119.7941,United States,US,USA,California,,703498,1840020319
Guadalupe,Guadalupe,25.6775,-100.2597,Mexico,MX,MEX,Nuevo León,minor,691931,1484002410
Hamilton,Hamilton,43.2567,-79.8692,Canada,CA,CAN,Ontario,,693645,1124567288
Allentown,Allentown,40.5961,-75.4756,United States,US,USA,Pennsylvania,,683794,1840001044
Acapulco de Juárez,Acapulco de Juarez,16.8636,-99.8825,Mexico,MX,MEX,Guerrero,minor,673478,1484463183
Tulsa,Tulsa,36.1284,-95.9042,United States,US,USA,Oklahoma,,671033,1840021672
Tlaquepaque,Tlaquepaque,20.6167,-103.3167,Mexico,MX,MEX,Jalisco,minor,664193,1484087945
Mazatlán,Mazatlan,23.2167,-106.4167,Mexico,MX,MEX,Sinaloa,minor,658354,1484841466
Cape Coral,Cape Coral,26.6446,-81.9956,United States,US,USA,Florida,,668382,1840015130
Tlalnepantla,Tlalnepantla,19.5367,-99.1947,Mexico,MX,MEX,México,minor,653410,1484861603
Durango,Durango,24.0167,-104.6667,Mexico,MX,MEX,Durango,admin,654876,1484854616
Concord,Concord,37.9722,-122.0016,United States,US,USA,California,,652308,1840018905
Colorado Springs,Colorado Springs,38.8674,-104.7606,United States,US,USA,Colorado,,642413,1840018825
Charleston,Charleston,32.8153,-79.9628,United States,US,USA,South Carolina,,628377,1840015163
Chimalhuacán,Chimalhuacan,19.4167,-98.9000,Mexico,MX,MEX,México,minor,614453,1484504936
Villa Nueva,Villa Nueva,14.5314,-90.5964,Guatemala,GT,GTM,Guatemala,minor,618397,1320353009
Springfield,Springfield,42.1155,-72.5395,United States,US,USA,Massachusetts,,623401,1840000466
Grand Rapids,Grand Rapids,42.9620,-85.6562,United States,US,USA,Michigan,,609314,1840002928
Tuxtla,Tuxtla,16.7528,-93.1167,Mexico,MX,MEX,Chiapas,admin,598710,1484832519
Irapuato,Irapuato,20.6667,-101.3500,Mexico,MX,MEX,Guanajuato,minor,592953,1484625454
Brampton,Brampton,43.6833,-79.7667,Canada,CA,CAN,Ontario,,593638,1124625989
Mission Viejo,Mission Viejo,33.6095,-117.6550,United States,US,USA,California,,590249,1840020580
Reynosa,Reynosa,26.0922,-98.2778,Mexico,MX,MEX,Tamaulipas,minor,589466,1484737671
Albany,Albany,42.6664,-73.7987,United States,US,USA,New York,admin,586383,1840000417
Knoxville,Knoxville,35.9692,-83.9496,United States,US,USA,Tennessee,,586048,1840014486
Bakersfield,Bakersfield,35.3529,-119.0359,United States,US,USA,California,,579295,1840019148
Ogden,Ogden,41.2278,-111.9682,United States,US,USA,Utah,,578523,1840020135
Tonalá,Tonala,20.6167,-103.2333,Mexico,MX,MEX,Jalisco,minor,569913,1484750897
Baton Rouge,Baton Rouge,30.4418,-91.1310,United States,US,USA,Louisiana,admin,570308,1840013941
Akron,Akron,41.0798,-81.5219,United States,US,USA,Ohio,,565208,1840000791
New Haven,New Haven,41.3112,-72.9246,United States,US,USA,Connecticut,,564830,1840004850
Ensenada,Ensenada,31.8578,-116.6058,Mexico,MX,MEX,Baja California,minor,557430,1484714297
Columbia,Columbia,34.0376,-80.9037,United States,US,USA,South Carolina,admin,560041,1840014730
Heroica Matamoros,Heroica Matamoros,25.8797,-97.5042,Mexico,MX,MEX,Tamaulipas,minor,541979,1484614906
Tultitlán de Mariano Escobedo,Tultitlan de Mariano Escobedo,19.6450,-99.1694,Mexico,MX,MEX,México,minor,520557,1484562374
Ciudad Apodaca,Ciudad Apodaca,25.7833,-100.1833,Mexico,MX,MEX,Nuevo León,minor,523370,1484855080
Mesa,Mesa,33.4017,-111.7180,United States,US,USA,Arizona,,518012,1840020566
Surrey,Surrey,49.1900,-122.8489,Canada,CA,CAN,British Columbia,,517887,1124001454
Carrefour,Carrefour,18.5333,-72.4000,Haiti,HT,HTI,Ouest,,511345,1332000098
Choloma,Choloma,15.6333,-88.0000,Honduras,HN,HND,Cortés,,510456,1340125981
Palm Bay,Palm Bay,27.9550,-80.6627,United States,US,USA,Florida,,507002,1840015094
Provo,Provo,40.2457,-111.6457,United States,US,USA,Utah,,500617,1840020174
Worcester,Worcester,42.2705,-71.8079,United States,US,USA,Massachusetts,,498328,1840000434
Ixtapaluca,Ixtapaluca,19.3186,-98.8822,Mexico,MX,MEX,México,minor,495566,1484452937
Murrieta,Murrieta,33.5720,-117.1909,United States,US,USA,California,,496046,1840020553
Ciudad López Mateos,Ciudad Lopez Mateos,19.5500,-99.2833,Mexico,MX,MEX,México,minor,489937,1484363879
Celaya,Celaya,20.5222,-100.8122,Mexico,MX,MEX,Guanajuato,minor,494304,1484979555
Los Mochis,Los Mochis,25.7835,-108.9937,Mexico,MX,MEX,Sinaloa,minor,490000,1484443585
Greenville,Greenville,34.8353,-82.3647,United States,US,USA,South Carolina,,484465,1840013501
Brookhaven,Brookhaven,40.8321,-72.9518,United States,US,USA,New York,,483546,1840057464
Wichita,Wichita,37.6896,-97.3442,United States,US,USA,Kansas,,482249,1840001686
Toledo,Toledo,41.6639,-83.5822,United States,US,USA,Ohio,,482111,1840000572
Staten Island,Staten Island,40.5834,-74.1496,United States,US,USA,New York,,476143,1840034032
Des Moines,Des Moines,41.5725,-93.6105,United States,US,USA,Iowa,admin,473957,1840007069
Long Beach,Long Beach,33.7981,-118.1675,United States,US,USA,California,,462628,1840020490
Port St. Lucie,Port St. Lucie,27.2796,-80.3883,United States,US,USA,Florida,,461152,1840015119
Denton,Denton,33.2176,-97.1419,United States,US,USA,Texas,,457177,1840019390
